ID,Name,Average Viewers,Average Channels,Rank,Hours Watched
509658,Just Chatting,308438,3966,1,51920361
512953,ELDEN RING,265611,8503,2,44711225
32982,Grand Theft Auto V,149441,2896,3,25155897
21779,League of Legends,119793,2140,4,20165193
33214,Fortnite,64230,6471,6,10812069
29595,Dota 2,47635,989,7,8018524
512710,Call of Duty: Warzone,38449,3403,8,6472314
32399,Counter-Strike,36156,1048,9,6086246
511224,Apex Legends,32655,2393,11,5496982
27471,Minecraft,31557,2523,12,5312106
515025,Overwatch 2,28480,1432,13,4794151
491487,Dead by Daylight,22322,1740,15,3757541
55453844,Street Fighter 6,24333,264,16,4096060
509672,IRL,23702,257,17,3989909
2009321156,Dark and Darker,22439,409,18,3777307
460630,Tom Clancy's Rainbow Six Siege,19939,1544,19,3356361
29452,Virtual Casino,21591,47,20,3634559
143106037,EA Sports FC 24,18291,896,21,3078983
518203,Sports,19423,164,22,3269561
18122,World of Warcraft,18258,699,23,3073482
26936,Music,16795,777,24,2827228
30921,Rocket League,13597,740,26,2288845
498566,Slots,14874,91,27,2503810
491931,Escape from Tarkov,14029,496,28,2361511
138585,Hearthstone,14003,128,29,2357251
497057,Destiny 2,12108,881,30,2038262
65632,DayZ,13301,263,31,2239024
509659,ASMR,12259,134,32,2063645
498592,I'm Only Sleeping,12125,200,33,2040959
493057,PUBG: BATTLEGROUNDS,10996,619,34,1850944
263490,Rust,11170,327,35,1880329
509660,Art,9774,605,36,1645346
272263131,"Animals, Aquariums, and Zoos",8389,280,39,1412162
386821,Black Desert,8544,188,40,1438198
513143,Teamfight Tactics,8466,175,41,1425049
27284,Retro,7891,249,42,1328305
513181,Genshin Impact,6892,692,43,1160206
509663,Special Events,7917,93,44,1332772
1494,Call of Duty,3111,2314,45,523656
459931,Old School RuneScape,7336,140,46,1234863
27546,World of Tanks,7312,126,48,1230843
417528,Albion Online,7234,131,49,1217729
497497,Brawl Stars,6751,183,51,1136369
623879571,NBA 2K24,5249,912,52,883628
417752,Talk Shows & Podcasts,6536,255,53,1100185
1337444628,Call of Duty: Modern Warfare III,5487,689,54,923573
19619,Tibia,6078,211,55,1023164
780302568,XDefiant,4637,459,57,780482
213930085,Honkai: Star Rail,4944,277,58,832183
493959,Red Dead Redemption 2,4675,411,59,786896
490100,Lost Ark,4889,148,60,823024
66082,Games + Demos,3647,452,61,613930
2748,Magic: The Gathering,4203,61,63,707469
490377,Sea of Thieves,3306,351,64,556572
1398657661,Anime Squad,3632,87,66,611305
488190,Poker,3653,57,67,614867
743,Chess,3510,56,68,590807
2897,The Simpsons: Hit & Run,3549,23,69,597389
116747788,"Pools, Hot Tubs, and Beaches",3434,53,70,578053
500188,Hunt: Showdown,3115,192,71,524383
18846,Garry's Mod,3354,32,72,564657
499003,VRChat,3166,102,73,532990
1469308723,Software and Game Development,2848,132,75,479354
538054672,TEKKEN 8,2712,120,77,456495
31336,Metin2,2642,34,79,444653
510218,Among Us,2380,84,83,400711
512923,Baldur's Gate 3,2040,226,85,343477
490422,StarCraft II,2283,37,86,384305
516588,Rise Online,2303,17,88,387689
493887283,Casino,2296,11,90,386565
12839,Heroes of Might and Magic III: The Restoration of Erathia,2234,26,91,376057
490744,Stardew Valley,1841,179,94,309834
32507,SMITE,1952,114,95,328504
1743359147,Marvel Snap,2114,27,97,355929

