ID,Name,Average Viewers,Average Channels,Rank,Hours Watched
509658,Just Chatting,315801,4282,1,53159915
509658,Just Chatting,315801,4282,1,53159915
32982,Grand Theft Auto V,196499,2942,2,33077391
516575,VALORANT,123694,4072,3,20821865
21779,League of Legends,114299,2391,4,19240259
32399,Counter-Strike,83718,1271,5,14092478
29595,Dota 2,77211,1196,6,12997145
33214,Fortnite,55526,6986,7,9346941
512710,Call of Duty: Warzone,43520,3883,8,7325944
143106037,EA Sports FC 24,37441,1071,9,6302485
515025,Overwatch 2,35111,1614,10,5910415
511224,Apex Legends,29305,2686,11,4932967
460630,Tom Clancy's Rainbow Six Siege,30340,1819,12,5107303
18122,World of Warcraft,30564,1066,13,5145017
27471,Minecraft,25497,1751,15,4292050
512034,Stellar Blade,25331,546,16,4255580
491487,Dead by Daylight,22952,1553,17,3863576
513143,Teamfight Tactics,25052,303,18,4217159
513181,Genshin Impact,18477,1933,19,3110266
26936,Music,20412,869,20,3435968
491931,Escape from Tarkov,19626,604,21,3303696
138585,Hearthstone,20112,168,22,3385542
29452,Virtual Casino,20318,41,23,3420127
498566,Slots,19652,95,24,3308170
55453844,Street Fighter 6,19449,181,25,3273992
518203,Sports,17742,192,26,2986522
417528,Albion Online,16001,206,27,2693432
493057,PUBG: BATTLEGROUNDS,14131,699,28,2378706
518630,Manor Lords,13422,303,29,2259448
489776,Fallout 4,11922,1030,30,2006820
30921,Rocket League,11759,818,31,1979415
509663,Special Events,12912,84,32,2173490
493887283,Casino,12952,40,33,2180256
509659,ASMR,12244,179,34,2061083
497057,Destiny 2,10871,715,35,1830016
512953,ELDEN RING,11091,559,36,1866970
509672,IRL,11769,165,37,1981110
29307,Path of Exile,11171,202,38,1880479
509660,Art,9970,618,39,1678263
1337444628,Call of Duty: Modern Warfare III,9293,926,40,1564323
263490,Rust,10016,307,41,1686103
497497,Brawl Stars,9889,194,42,1664604
27546,World of Tanks,9972,152,43,1678654
493959,Red Dead Redemption 2,9227,423,44,1553280
1494,Call of Duty,3703,2635,45,623275
506246,Fallout 76,7191,616,46,1210422
27284,Retro,7567,277,47,1273768
386821,Black Desert,7546,192,48,1270288
498592,I'm Only Sleeping,7430,199,49,1250763
252812003,Supermarket Simulator,7478,144,50,1258849
623879571,NBA 2K24,5754,943,51,968584
766571430,HELLDIVERS 2,6315,591,52,1063090
417752,Talk Shows & Podcasts,6735,284,54,1133662
538054672,TEKKEN 8,6941,178,55,1168455
65632,DayZ,6223,287,56,1047507
18763,Fallout 3,6539,124,57,1100727
516588,Rise Online,6475,43,59,1089938
459931,Old School RuneScape,5786,146,61,973921
19619,Tibia,5666,195,62,953812
490100,Lost Ark,5651,174,63,951281
490744,Stardew Valley,5301,346,64,892262
2748,Magic: The Gathering,5733,77,65,965108
213930085,Honkai: Star Rail,5159,235,67,868514
987123848,No Rest for the Wicked,5289,107,68,890355
1398657661,Anime Squad,5177,132,70,871415
272263131,"Animals, Aquariums, and Zoos",4682,286,71,788079
394568,RimWorld,4919,92,73,827981
145906249,TopSpin 2K25,4787,75,74,805887
66082,Games + Demos,3962,461,75,667004
18846,Garry's Mod,4417,33,76,742005
490377,Sea of Thieves,3653,385,77,614899
23453,Fallout: New Vegas,3852,205,78,648404
743,Chess,4060,57,79,683501
394758168,Content Warning,3833,152,80,645171
116747788,"Pools, Hot Tubs, and Beaches",3989,68,81,671406
500188,Hunt: Showdown,3638,229,82,612345
1743359147,Marvel Snap,3734,34,85,628603
499003,VRChat,3470,102,86,584092
2142745232,Rumble Club,3813,18,87,611426
389876637,Pax Dei,3619,76,89,591078
1469308723,Software and Game Development,3341,133,90,562445
32507,SMITE,3263,163,91,549322
2009321156,Dark and Darker,3363,89,92,566028
2897,The Simpsons: Hit & Run,3462,24,93,582813
488190,Poker,3304,68,94,556248
510218,Among Us,3265,76,95,549604
2106425216,Gray Zone Warfare,6233,28,97,557891
2692,Super Mario 64,3219,34,98,541864
512923,Baldur's Gate 3,2457,289,100,413649
