ID,Name,Average Viewers,Average Channels,Rank,Hours Watched
509658,Just Chatting,306461,4135,1,51587556
32982,Grand Theft Auto V,193504,2858,2,32573137
21779,League of Legends,161129,2356,3,27123414
32399,Counter-Strike,82358,1229,5,13863556
33214,Fortnite,55962,6546,6,9420198
511224,Apex Legends,56013,3247,7,9428881
29595,Dota 2,51977,1218,8,8749490
512710,Call of Duty: Warzone,41204,3526,9,6936052
27471,Minecraft,31159,1785,10,5245127
18122,World of Warcraft,29441,940,11,4955973
143106037,EA Sports FC 24,28965,1040,12,4875767
55453844,Street Fighter 6,27772,213,14,4675021
29452,Virtual Casino,27044,45,15,4552350
491487,Dead by Daylight,22654,1525,17,3813507
460630,Tom Clancy's Rainbow Six Siege,21516,1673,18,3621841
515025,Overwatch 2,19016,1455,20,3200983
513143,Teamfight Tactics,21206,263,21,3569646
518203,Sports,21015,202,22,3537608
26936,Music,19213,872,23,3234128
509663,Special Events,18678,94,24,3144071
509672,IRL,17002,213,27,2861999
138585,Hearthstone,16949,163,28,2853014
498566,Slots,16458,94,29,2770382
493057,PUBG: BATTLEGROUNDS,12474,673,30,2099724
30921,Rocket League,12183,777,31,2050744
497057,Destiny 2,11898,759,32,2002898
417528,Albion Online,12986,208,33,2185984
513181,Genshin Impact,10471,1203,34,1762558
512953,ELDEN RING,11578,543,35,1949026
213930085,Honkai: Star Rail,11424,528,36,1923029
1337444628,Call of Duty: Modern Warfare III,10712,874,37,1803106
509660,Art,10760,667,38,1811183
509659,ASMR,11663,178,39,1963205
2106425216,Gray Zone Warfare,10804,474,40,1818746
263490,Rust,10850,359,41,1826478
491931,Escape from Tarkov,9239,495,42,1555211
489776,Fallout 4,8503,792,43,1431356
493959,Red Dead Redemption 2,8513,425,44,1433065
493887283,Casino,8917,32,45,1501054
490377,Sea of Thieves,6878,625,47,1157792
1494,Call of Duty,3347,2381,48,563457
386821,Black Desert,7487,185,49,1260281
1743359147,Marvel Snap,7504,42,50,1263175
417752,Talk Shows & Podcasts,6723,273,51,1131761
27284,Retro,6668,258,52,1122530
29307,Path of Exile,6710,144,54,1129542
512034,Stellar Blade,5939,381,55,999739
252812003,Supermarket Simulator,6229,111,57,1048563
65632,DayZ,5877,261,59,989367
272263131,"Animals, Aquariums, and Zoos",5648,297,60,950730
623879571,NBA 2K24,4378,930,61,737008
538054672,TEKKEN 8,5711,192,62,961425
497497,Brawl Stars,5401,205,63,909109
459931,Old School RuneScape,5511,145,64,927732
19619,Tibia,5372,207,65,904253
27546,World of Tanks,5480,146,66,922457
23453,Fallout: New Vegas,5429,167,67,913835
506246,Fallout 76,4837,457,68,814150
516588,Rise Online,5402,32,69,909297
498592,I'm Only Sleeping,4962,186,71,835338
488190,Poker,5117,71,72,861348
66082,Games + Demos,4323,447,73,727749
490744,Stardew Valley,4274,304,74,719515
766571430,HELLDIVERS 2,3845,462,75,647251
1469308723,Software and Game Development,4297,139,77,723296
18846,Garry's Mod,4331,37,78,728325
743,Chess,4085,58,79,687577
518630,Manor Lords,3824,149,80,643624
490100,Lost Ark,3665,128,81,616918
2748,Magic: The Gathering,3625,67,82,610137
499003,VRChat,3484,98,84,586395
394758168,Content Warning,3279,183,86,552014
31336,Metin2,3467,40,90,583583
116747788,"Pools, Hot Tubs, and Beaches",3390,56,91,570643
394568,RimWorld,3246,75,93,546382
32507,SMITE,2940,141,95,494898
500188,Hunt: Showdown,2807,195,96,472581
512923,Baldur's Gate 3,2573,272,98,433161
510218,Among Us,2869,73,100,482871
