ID,Name,Average Viewers,Average Channels,Rank,Hours Watched
3573,Survivor,18,1,8862,85
3587,colin mcrae: DiRT,1,1,20879,2
3597,Ecco the Dolphin: Defender of the Future,8,1,10203,54
3617,Shadow Hearts,18,1,3002,1188
3623,Pokémon Red/Blue,26,5,1440,4301
3632,Guilty Gear X,3,1,23004,2
3639,Star Fox,3,1,9316,51
3681,Microsoft Minesweeper,8,1,6935,148
3694,Castle of the Winds,16,1,13069,26
3712,Missile Command,8,1,24003,1
3733,Pocky & Rocky,29,1,7472,141
3769,The King of Fighters '97,11,1,7198,140
3810,Blitz: The League,9,1,7761,105
3831,Arc the Lad III,22,1,8312,105
3872,Star Wars: Rogue Squadron II - Rogue Leader,2,1,18080,6
3902,Adidas Power Soccer,3,1,20042,4
3955,Zorro,8,1,22087,3
3985,Gun Nac,3,1,17411,6
3990,Rainbow Warrior,1,1,15066,6
4005,Alleyway,3,1,22088,2
4012,Command & Conquer,7,1,5019,328
4026,Post Mortem,1,1,15996,5
4041,Lotus Esprit Turbo Challenge,23,1,8411,99
4054,Blood Sport,2,1,25742,0
4095,Persona 3,9,1,3796,591
4140,Thief: The Dark Project,22,1,3905,633
4148,Panzer Dragoon Orta,6,1,13776,17
4182,Corruption,2,1,18081,4
4188,Battlestar Galactica,1,1,19249,2
4208,Derby Stallion,0,1,13242,6
4228,Reservoir Dogs,106,1,4818,444
4235,Microsoft Flight Simulator X,5,1,8081,85
4242,Trader 2,0,1,26807,0
4271,Antarctic Adventure,1,1,21835,1
4293,Medieval II: Total War,16,2,2055,2350
4308,Doki-doki Majo Shinpan!,3,1,19436,4
4380,Vanguard: Saga of Heroes,1,1,20202,1
4387,Rama,5,1,15918,11
4435,Shaq-Fu,15,1,11950,36
4449,The Lord of the Rings: The Battle for Middle-earth II,42,3,1459,5093
4456,Combat: Task Force 121,0,1,26809,0
4465,Tex Murphy: Overseer,5,1,14803,15
4540,Ratchet & Clank: Up Your Arsenal,9,1,3427,767
4612,Link: The Faces of Evil,10,1,10786,43
4630,Phantasy Star Universe,2,1,7990,53
4651,Gamera 2000,26,1,5085,371
4682,Mega Man Battle Network 2,7,2,3289,658
4702,Valhalla,2,1,21408,2
4708,Goblin Commander: Unleash the Horde,1,1,11052,21
4736,Samba de Amigo ver. 2000,6,1,10950,39
4751,Mundial de Fútbol,1,1,14550,7
4765,Terminator 2: Judgment Day,2,1,19437,4
4812,Super Baseball 2020,0,1,23158,0
4912,Bionicle Heroes,10,1,9960,55
4919,Fester's Quest,1,1,22425,1
4941,Tokyo Xtreme Racer 2,3,1,18161,5
4947,Golden Axe II,2,1,13551,14
4986,Bugs Bunny & Taz: Time Busters,34,1,4659,460
5007,Destrega,2,1,17809,5
5060,Dick Tracy,87,1,5320,350
5089,The Matrix: Path of Neo,4,1,5734,212
5096,Chaser,1,1,12748,13
5176,Capcom vs. SNK: Millennium Fight 2000 Pro,74,1,11041,49
5183,Yu-Gi-Oh! Power of Chaos: Yugi the Destiny,2,1,12165,20
5213,Ninja Commando,13,1,16802,11
5220,Award Winners,1,1,13275,9
5245,Battle for Wesnoth,4,1,7346,94
5256,The Curse of Monkey Island,25,1,3020,1181
5262,Lufia II: Rise of the Sinistrals,28,1,2047,2657
