ID,Name,Average Viewers,Average Channels,Rank,Hours Watched
509658,Just Chatting,298474,3908,1,50193357
32982,Grand Theft Auto V,187222,2859,2,31484430
21779,League of Legends,132925,2478,3,22353553
29595,Dota 2,84362,1136,5,14186840
33214,Fortnite,66248,6542,6,11140757
32399,Counter-Strike,69955,1092,7,11764019
512710,Call of Duty: Warzone,39522,3318,8,6646330
55453844,Street Fighter 6,44253,332,9,7441859
27471,Minecraft,40622,2090,10,6831259
18122,World of Warcraft,42131,1046,11,7085088
511224,Apex Legends,36691,2769,12,6170194
780302568,XDefiant,34556,2269,13,5811225
460630,Tom Clancy's Rainbow Six Siege,33018,1499,14,5552450
491487,Dead by Daylight,27344,1776,16,4598288
143106037,EA Sports FC 24,28346,1108,17,4766927
29452,Virtual Casino,27986,50,18,4706288
512953,ELDEN RING,23998,1006,20,4035722
515025,Overwatch 2,19597,1352,21,3295540
509672,IRL,19813,227,22,3331959
26936,Music,17168,808,24,2887083
493057,PUBG: BATTLEGROUNDS,16705,709,25,2809292
138585,Hearthstone,17036,143,26,2864933
497057,Destiny 2,14445,857,28,2429172
263490,Rust,14918,280,29,2508764
513143,Teamfight Tactics,14441,206,30,2428465
509663,Special Events,14623,82,31,2459103
518203,Sports,14354,147,32,2413914
498566,Slots,13206,90,33,2220813
509659,ASMR,12626,166,35,2123229
491931,Escape from Tarkov,11645,545,36,1958217
30921,Rocket League,10479,741,37,1762266
509660,Art,9773,604,39,1643482
493887283,Casino,10020,27,40,1685099
490377,Sea of Thieves,8685,515,42,1460506
417528,Albion Online,8858,162,43,1489669
1494,Call of Duty,3305,2266,45,555721
493959,Red Dead Redemption 2,6890,446,46,1158637
1337444628,Call of Duty: Modern Warfare III,6168,711,47,1037311
386821,Black Desert,7137,179,48,1200162
27546,World of Tanks,7014,133,49,1179438
513181,Genshin Impact,6390,432,50,1074526
417752,Talk Shows & Podcasts,6645,266,51,1117415
623879571,NBA 2K24,5194,970,52,873382
538054672,TEKKEN 8,6818,150,53,1146609
488190,Poker,6417,68,57,1079089
27284,Retro,5767,246,58,969836
497497,Brawl Stars,5531,177,60,930178
65632,DayZ,5376,253,61,904037
66082,Games + Demos,4735,434,62,796219
18846,Garry's Mod,5393,36,63,906911
459931,Old School RuneScape,5187,139,64,872316
498592,I'm Only Sleeping,5089,184,65,855805
272263131,"Animals, Aquariums, and Zoos",4791,284,66,805659
19619,Tibia,4887,190,67,821819
489776,Fallout 4,3684,489,68,619594
743,Chess,4436,61,70,745958
490744,Stardew Valley,3733,243,71,627817
213930085,Honkai: Star Rail,3714,213,72,624639
1469308723,Software and Game Development,3831,134,73,644208
23453,Fallout: New Vegas,3455,118,78,581011
516588,Rise Online,3589,23,79,603575
500188,Hunt: Showdown,3228,186,80,542858
499003,VRChat,3341,98,81,561874
490100,Lost Ark,3193,102,85,536937
2748,Magic: The Gathering,3141,64,86,528163
116747788,"Pools, Hot Tubs, and Beaches",3159,49,87,531289
394568,RimWorld,3078,64,88,517552
766571430,HELLDIVERS 2,2605,291,89,438044
32507,SMITE,2821,138,91,474439
512923,Baldur's Gate 3,2539,256,93,426924
512923,Baldur's Gate 3,2539,256,93,426924
506246,Fallout 76,2267,291,96,381230
