ID,Name,Average Viewers,Average Channels,Rank,Hours Watched
509658,Just Chatting,360811,4004,1,60676366
32982,Grand Theft Auto V,132421,2913,2,22268751
21779,League of Legends,117951,2031,3,19835368
512953,ELDEN RING,76240,4214,5,12820973
29595,Dota 2,63156,993,6,10620741
29595,Dota 2,63156,993,6,10620741
33214,Fortnite,44264,6054,7,7443722
32399,Counter-Strike,44285,1040,9,7447331
512710,Call of Duty: Warzone,36465,3083,10,6132177
27471,Minecraft,31422,2605,12,5284059
511224,Apex Legends,29887,2267,13,5025940
509672,IRL,27567,271,15,4635927
460630,Tom Clancy's Rainbow Six Siege,19816,1569,17,3332466
515025,Overwatch 2,20028,1247,18,3368015
491487,Dead by Daylight,19502,1416,19,3279560
18122,World of Warcraft,20271,619,20,3408927
518203,Sports,20916,161,21,3517404
143106037,EA Sports FC 24,18879,943,22,3174746
29452,Virtual Casino,20402,45,23,3430987
26936,Music,15233,757,26,2561674
263490,Rust,13834,364,27,2326436
263490,Rust,13834,364,27,2326436
2009321156,Dark and Darker,13860,288,28,2330749
491931,Escape from Tarkov,13291,438,29,2235124
138585,Hearthstone,12735,126,31,2141626
498566,Slots,12137,91,32,2041044
509659,ASMR,12022,147,33,2021695
55453844,Street Fighter 6,11553,216,34,1942817
65632,DayZ,10974,277,35,1845511
493057,PUBG: BATTLEGROUNDS,10153,580,36,1707378
509660,Art,9854,599,37,1657093
27546,World of Tanks,9664,134,38,1625212
780302568,XDefiant,8521,447,39,1433025
386821,Black Desert,8525,191,40,1433597
513143,Teamfight Tactics,8188,145,41,1376999
497057,Destiny 2,6880,592,42,1156906
509663,Special Events,7915,74,43,1331037
27284,Retro,7401,250,45,1244535
1494,Call of Duty,3065,2232,47,515471
272263131,"Animals, Aquariums, and Zoos",6868,268,48,1155002
417528,Albion Online,7103,124,49,1194489
19619,Tibia,6599,209,50,1109695
417752,Talk Shows & Podcasts,6280,238,51,1056120
459931,Old School RuneScape,6392,151,52,1074948
30921,Rocket League,5172,730,53,869799
490377,Sea of Thieves,5812,311,54,977455
1337444628,Call of Duty: Modern Warfare III,5079,635,55,854073
623879571,NBA 2K24,4285,944,56,720533
66082,Games + Demos,5015,443,57,843280
498592,I'm Only Sleeping,5429,214,58,912977
1398657661,Anime Squad,5358,100,59,901057
1743359147,Marvel Snap,5140,32,61,864404
493959,Red Dead Redemption 2,4140,406,63,696282
490100,Lost Ark,4712,107,64,792343
513181,Genshin Impact,4227,310,65,710800
252812003,Supermarket Simulator,4241,96,67,713191
499003,VRChat,4009,93,69,674139
512923,Baldur's Gate 3,3534,246,70,594243
500188,Hunt: Showdown,3270,186,71,549841
743,Chess,3460,54,72,581846
1469308723,Software and Game Development,3137,124,74,527535
497497,Brawl Stars,2970,193,75,499528
116747788,"Pools, Hot Tubs, and Beaches",3245,52,76,545747
890558948,Torchlight: Infinite,3207,41,78,535068
2748,Magic: The Gathering,3003,62,81,505028
213930085,Honkai: Star Rail,2710,138,83,455785
538054672,TEKKEN 8,2724,117,84,458135
12839,Heroes of Might and Magic III: The Restoration of Erathia,2861,26,86,481159
510218,Among Us,2549,108,87,428684
493887283,Casino,2663,13,91,447866
32507,SMITE,2426,115,92,408023
490744,Stardew Valley,2204,175,93,370703
488190,Poker,2309,53,95,388256
516588,Rise Online,2296,16,99,386100

