ID,Name,Average Viewers,Average Channels,Rank,Hours Watched
509658,Just Chatting,300009,4060,1,50501499
509658,Just Chatting,300009,4060,1,50501499
32982,Grand Theft Auto V,183913,2804,2,30958723
21779,League of Legends,162506,2252,3,27355104
32399,Counter-Strike,81957,1211,5,13796134
33214,Fortnite,59319,6032,6,9985448
29595,Dota 2,62705,1206,7,10555273
511224,Apex Legends,42160,3601,8,7096865
512710,Call of Duty: Warzone,41187,3453,10,6933144
512953,ELDEN RING,44411,586,11,7475820
55453844,Street Fighter 6,37758,214,12,6355888
509663,Special Events,33268,97,13,5600095
27471,Minecraft,29525,1738,14,4970045
143106037,EA Sports FC 24,29098,1061,15,4898121
18122,World of Warcraft,27621,902,16,4649493
29452,Virtual Casino,27317,46,19,4598369
491487,Dead by Daylight,22434,1522,20,3776436
460630,Tom Clancy's Rainbow Six Siege,18487,1577,22,3111963
518203,Sports,20975,180,23,3530785
515025,Overwatch 2,18172,1399,24,3058895
26936,Music,18239,856,25,3070278
138585,Hearthstone,17352,160,26,2920933
509672,IRL,16929,217,27,2849798
513143,Teamfight Tactics,16739,241,28,2817774
498566,Slots,16277,96,29,2739894
213930085,Honkai: Star Rail,14614,656,30,2460012
493057,PUBG: BATTLEGROUNDS,11588,646,32,1950594
497057,Destiny 2,11047,760,33,1859600
30921,Rocket League,10777,752,34,1814201
509659,ASMR,11741,175,35,1976379
509660,Art,10609,649,37,1785851
1337444628,Call of Duty: Modern Warfare III,10094,842,38,1699128
513181,Genshin Impact,9499,1119,39,1598959
417528,Albion Online,10910,191,40,1836489
491931,Escape from Tarkov,8642,487,41,1454675
263490,Rust,8468,327,43,1425512
489776,Fallout 4,7262,704,44,1222362
1743359147,Marvel Snap,8459,48,45,1423872
498592,I'm Only Sleeping,8094,181,46,1362456
1494,Call of Duty,3203,2317,47,539237
493959,Red Dead Redemption 2,6971,402,48,1173531
386821,Black Desert,7269,178,49,1223688
493887283,Casino,7308,30,50,1230176
417752,Talk Shows & Podcasts,6446,267,52,1085091
27284,Retro,6444,249,53,1084679
490377,Sea of Thieves,5421,549,54,912535
623879571,NBA 2K24,4420,911,56,743954
538054672,TEKKEN 8,5802,187,57,976721
65632,DayZ,5589,257,58,940869
488190,Poker,5893,71,59,991912
272263131,"Animals, Aquariums, and Zoos",5302,299,60,892570
459931,Old School RuneScape,5400,141,61,908992
743,Chess,5285,60,62,889722
497497,Brawl Stars,4778,198,64,804367
27546,World of Tanks,4805,142,65,808779
19619,Tibia,4661,181,66,784633
23453,Fallout: New Vegas,4703,153,67,791609
2106425216,Gray Zone Warfare,4275,313,68,719708
512034,Stellar Blade,4292,293,69,722479
516588,Rise Online,4766,32,70,802345
29307,Path of Exile,4565,123,71,768481
766571430,HELLDIVERS 2,3755,458,72,632128
490744,Stardew Valley,4077,283,73,686351
506246,Fallout 76,3648,421,75,614033
252812003,Supermarket Simulator,4002,100,77,673654
18846,Garry's Mod,4133,34,78,695801
66082,Games + Demos,3284,428,79,552804
1469308723,Software and Game Development,3409,136,83,573769
490100,Lost Ark,3314,120,85,557826
32507,SMITE,3203,149,86,539110
2748,Magic: The Gathering,3303,64,87,556068
499003,VRChat,3157,94,88,531360
512923,Baldur's Gate 3,2741,259,89,461387
31336,Metin2,3133,40,91,527455
394758168,Content Warning,2893,152,92,486938
116747788,"Pools, Hot Tubs, and Beaches",2990,56,93,503278
500188,Hunt: Showdown,2711,184,94,456308
510218,Among Us,2918,71,95,491212
394568,RimWorld,2847,70,98,479169
